plaintext,ciphertext,key,cipher_type
jsponcowdekxzbsatcku,tgqmbxmynucazlgjexcs,jlxnurkhotcdfbmqiwgespyavz,Substitution
bla vairaoiinhbjqmiy,vck lycikegcerrhkdso,urkqy,Vigenère
xaqficuzpfdzcjlt oph,czjurxfakuwaxqog lks,None,Atbash
rmzunnpk r afltmmbu ,r mmkrmbzp tuunal nf,5,Rail Fence
hndnwiuwjnxoqf byoih,hjoynphzwjfimoaymenu,awllr,Autokey
vtzhknzdokhonxgbag n,igmuxamqbxubaktont a,None,ROT13
lbvnwmasr h rvjrsxe ,oyemdnzhi s ieqihcv ,None,Atbash
rokvbnuj bwgbgbef zl,healrdkz rmwrwruv pb,16,Caesar
hinhcrd odmdfzxmmr p,wrxweoy cyfygidffo n,uzeypgvwrtsqfxcnkomhljadbi,Substitution
lyykvmpzqnpaphvtkeom,zenusxnxaibpoxiiktvh,ogpkx,Autokey
lc zbkkuomxiabzdnqtz,loncumdq kxztzkibzba,5,Rail Fence
tsgdnk  dcoc gqbtqvh,idprgz  rwyw pfeifat,bewrckpthmzlogyufxdiqajnsv,Substitution
 aodstoouzzpvwwakctw, wkzopkkqvvlrsswgyps,22,Caesar
mshpzelaeztv yncbodh,ztpvvrmikvgw gtyopln,nbigw,Vigenère
z ppfkpwuadcmbullchq,a kkupkdfzwxnyfooxsj,None,Atbash
kduvqpipnlphxwzyssmr,rfhilzljibepmjknzpiq,hcnnv,Autokey
e nipdqohamuezrupx k,bhfsjhdbpppksgrgjbmb,xusku,Autokey
hanml fq gxgdcrlpnkd,szmno uj tctwxiokmpw,None,Atbash
nvwuqzzfhhyt cieapxp,uvrlmyybddae fgsjzwz,jkfqsbxdgnhpiuozmctelvrway,Substitution
ogzpcgeqncajnzohxftj,twoflwqvmliamotynjba,iplsqjwyuaghrmtfvcebxdznko,Substitution
goemwcnfbzcollfwecbx,vdhjvibjnvebqmeysnmc,ppdxz,Autokey
wuqjwfitvvnfnmraauhp,dfjqdurgeemumnizzfsk,None,Atbash
srcbdnlmlibnybluipit,fepoqayzyvoaloyhvcvg,None,ROT13
dnisxxrbhipalojvxhzu,qavfkkeouvcnybwikumh,None,ROT13
hklkuidxyqiwijzcbyzz,djqytpniikqzfhpkxgiy,wzfoz,Autokey
unurmvcrahqotlokwvod,fmfinexizsjlgolpdelw,None,Atbash
 nfsbylgvhlirjss zcv, ogtczmhwimjsktt adw,1,Caesar
rlckstainxdohnpwgofj,wurlfoztmyavkmepbvsc,"(9, 25)",Affine
ghtpqqwazx xenepndnh,rxhwuuksay ymtmwtptx,segpmdrxqzbcntowulvhjfkyia,Substitution
nf zqpxlioxsmugnfmjv,as mdckyvbkfzhtaszwi,None,ROT13
mk jnjxzjigwoxhvywmo,zx wawkmwvtjbkuiljzb,None,ROT13
zebohlgnhazuwkzadihv,zebohlgnhazuwkzadihv,"(1, 0)",Affine
kmuxgklsneqdayh  sdb,rjdehralsptgfnq  lgo,"(9, 5)",Affine
ztwlvnuogdvuepalhqxx,zghtodlqwuvaxlnupxve,5,Rail Fence
cvtmjzgyflbhjsjmultf,exvolbiahndjlulownvh,2,Caesar
zviogbqsyvgyep pstbx,mivbtodflitlrc cfgok,None,ROT13
nrwuxjxiuthexxzabrbk,cxozntnfzdpjnnugmxms,gmqijakpftslycwrexbdzvonhu,Substitution
ixljybaafpccydvweytr,wfdhqxmmpviiqtjueqnr,"(11, 12)",Affine
frfpqlwavmlezncrsett,qgqmjyrfuvytiszgdtaa,"(23, 5)",Affine
dxtxqmvxqayjjdwwjozx,dkihmpsqnqkegtwusxct,anpkw,Autokey
tpegmsbvgoflfqsyhpui,jhrrelqzmaxmawgdsuka,qsnls,Autokey
 jkffjpbyhotw lvbous, onssoiwzqjeb mcwjdf,"(25, 23)",Affine
qkjtyrxxrgkhzwxn ewg,wsnlkbffbysdpafh oay,"(5, 20)",Affine
cldggimczbrpfdxhacyu,mykhbszjawbcmesrnjzp,knhbv,Vigenère
ixjrjbtdrnoavuua orq,rcqiqygwimlzeffz lij,None,Atbash
cnwbrmiuweqwakdnjfhr,fepygxvbptzprjmecaog,"(7, 17)",Affine
bhyr bgbhaprfirnmody,hicc gmclluxgmcssphj,gbelf,Vigenère
epulojowycloyangmgai,vtbisndqjqucuypraeav,rehxe,Autokey
sikvnbvcntf ydetmcef,wraoxtdmiggiaqxyzahj,ejqtk,Autokey
njqaefcac  nojwgreuv,bjiogrkok  bmjwctgal,"(11, 14)",Affine
xzyipkykqmsjqhucndqa,kmlvcxlxdzfwduhpaqdn,None,ROT13
qcxmdl cyjtxtnhjqaej,zlkoau lllqgcajgzjrl,jjncx,Vigenère
wsl wzudynvkbkenoemu,lpn lwektixydyuiquae,fdokushcmrynaiqgjzpvexlbtw,Substitution
yluwhasutgwyffwgowll,pcvfizlvqdfpyyfdrfcc,"(5, 25)",Affine
mgtekodntn ftlptsbv ,nxqknajgxxbigecgxugc,brxgd,Autokey
yvgxuosqeioxvlxhuyrj,vcafimnwbccplpfvrtcg,xhuio,Autokey
cjzdwkhoiperdpl dzp ,nmgyzxqpbajwyai yga ,"(11, 17)",Affine
unqoduvp pliopjovnde,sopjwoifbsfddcyzdbsn,ybzvt,Autokey
zpcljppqynguqahmglnc,rbcgvhbqtzygqvteslio,smavm,Vigenère
aevqiudyoxiwpvymghlw,nridvhqlbkvjcilztuyj,None,ROT13
xdvgbzxwox iohbp jqq,nvteopnzxn axdol uss,morvbiedaufhwcxlsqjgytznkp,Substitution
gubxnngwyjcjwdvnptal,cftoktaxvwppsbepypdg,wlsrx,Autokey
geihyhxgnbekhgfnovjl,ucmdadrufbcedulfozvn,"(9, 18)",Affine
foafiwyp odvpvam uld,jsejmact shztzeq yph,4,Caesar
awcg eanerro pslsxbb,zdxt vzmviil khohcyy,None,Atbash
dppopahwbararhvkktee,frrqrcjydctctjxmmvgg,2,Caesar
woivtzsnbj bcn bizzw,dlregahmyq yxm yraad,None,Atbash
ev homtjhbpicztlevcq,ct fmkrhfzngaxrjctao,24,Caesar
j swtcmdlxxurupljqyb,jmry cduuqbstlxpjwxl,4,Rail Fence
ql znwtuhlopmxzgx hs,jo amdgfsolkncatc sh,None,Atbash
ruqpmflpwvruqfahyvnr,deulkzblwndeuzgrontd,"(9, 6)",Affine
yfetkiezunhqsftxftoz,rotqeitwdjflmoqgoqxw,uhvktocfiaensjxylzmqdbpgrw,Substitution
ysskrasbnlwpunygqtxi,yrnuqskablpngtisswyx,3,Rail Fence
zm miqv qysxvxzjullo,an nrje jbhcecaqfool,None,Atbash
 jpzfsc yjbnqyjniwj , lajice jtexsjtqsyu ,clkdk,Vigenère
tgxym lfrxyyxckhqthy,jwnoc bvhnoonsaxgjxo,16,Caesar
lcgqpfoksvvchgqtffye,yptdcsbxfiiputdgsslr,None,ROT13
vpfxrhkupvhgylmkyahq,ukglygfvdcgbzztjtbvx,zvboh,Vigenère
dsdhfsownnnflslljdgt,dfnljshswnfsldtdonlg,3,Rail Fence
mifeiqaoxluun rvpmhu,ezqtzykhbdmmg lxjenm,krswtqpnzvadeghjylcfmxibou,Substitution
zcjqppobbmu kehuckor,dvcnboqkrbjblftopusy,ettxm,Autokey
kkbrnsohcelids uyosb,oovxdcizaktefc mgicv,"(5, 16)",Affine
tvglpjsljbukndoaa vd,tjavlba gsuovljkddpn,5,Rail Fence
guhxobh  frutkxzzzyf,iwjzqdj  htwvmzbbbah,2,Caesar
fzfwkwufypeno xwlbvn,smsjxjhslcrab kjyoia,None,ROT13
nvxqfnsxwlcnuhypajos,ctvzoanumqpfrdjrndvq,pyyjj,Autokey
fjkjbivgnoaf vkplazt,bgvkvneqwpiatiypqnud,wxlbu,Autokey
pdkirhidplxaumyvqdli,jfwoylofjavtsdmcgfao,tnpfbizloqwadekjgyuhscxvmr,Substitution
vxazfraddfkakjmabsbu,kmpougpssuzpzybpqhqj,15,Caesar
zrcamsxdkvseushatgtn,aixznhcwpehvfhszgtgm,None,Atbash
ozulhhzzyya vaweygho,letuggeehhb qbnphjgl,"(23, 1)",Affine
hmvsmsrupeffvrx qefe,hvmrpfvxqfmssuefr ee,2,Rail Fence
cpbjmdnxvlado jkmjrw,sfrzctdnlbqte zaczhm,16,Caesar
tltydqzuaubupwwnfwmq,ttdzabpwfmlyquuuwnwq,2,Rail Fence
euqcbpiyspuuatcccjyo,dqptkjxaujqqwitttsae,wktodbfzxsnryhejpcuiqlvmag,Substitution
fpqigsdizdqykdghksl ,ypsanldkrkjymvnakud ,tacsh,Vigenère
qzemzebdlqgibnylktgx,qzlbkzmedqinltxebgyg,3,Rail Fence
autxkyomoqv cmh pvag,ztswjxnlnpu blg ouzf,25,Caesar
bbwjitvdxuznoalhpyje,nggqvfanehlsyhytuiqr,mfkhn,Vigenère
wppydichyylwipsnazun,wpdcylisaupyihywpnzn,2,Rail Fence
pqdmdflmjqanrcsnzzuj,cdqzqsyzwdnaepfammhw,13,Caesar
alc irtvdivtioodhoiq,aidihl rvitodoqctvoi,3,Rail Fence
yuavvahogukzzceebsft,fgvhhvxlygkeeommjcaw,vjosmayxnpkdbrlqzicwghtufe,Substitution
xzwgntzalgmhllkmwuyp,cpfuoypjzhrxuzlrmdmq,fqjob,Vigenère
bedpybkvezammt ekjxu,orqcloxirmnzzg rxwkh,None,ROT13
atv wnb  alz wefinzz,xlgsrnuiawyaajeqhavd,xslfv,Autokey
hhjxmqwhalyunqmcqrnt,ssqcnjdszobfmjnxjimg,None,Atbash
mtlmwe pxxeukczumcsu,mxmtpxucl ezsmeucuwk,5,Rail Fence
iqsidbxsgpbptgl urae,lztlvjnkoscmlmaojkgp,djbds,Autokey
veysifytqph m  zcegr,fwcisvchklt o  bywuj,"(25, 0)",Affine
eehpza juvypevjydmik,ehz uyejdiepajvpvymk,2,Rail Fence
yfmvctevxoxiqvqqolfh,modizhnmkllrhinexcse,ojrnx,Vigenère
zbw sdlpxjm y atcozz,ayd hwokcqn b zgxlaa,None,Atbash
bphlmyklflkcygfgnirl,iwostfrsmsrjfnmnupys,7,Caesar
dkwatyxpxoergyxlynnd,qxjnglkckbretlkylaaq,None,ROT13
epfnratvuxztlectjmkr,eruljpnavxtetmrftzck,3,Rail Fence
 hqj tysurtjzy fvgyq, q yutz vyhjtsrjyfgq,2,Rail Fence
mcar fwnmgqwxyngbzxp,nbuwpryndtvskktwxwvc,bzufc,Autokey
qjkeafiqmsfmyfqmeh a,jqpvzurjnhunbujnvs z,None,Atbash
eugtmpd  rovjrts jqx,jcinbtxtgddywekgishq,ficup,Autokey
hvvalmhbebixndljkdgt,iwwbmnicfcjyoemklehu,1,Caesar
npzsfoejwsylbpjzozep,mkahulvqdhboykqalavk,None,Atbash
ylseoechzvpdqlrlesgn,gtoycyshjxfvitltyoez,"(3, 12)",Affine
ib eif rekypshow yld,vo rvs erxlcfubj lyq,None,ROT13
 vkmvip c wrswvzsdsm, bypjbv q zflcjcgwya,godot,Vigenère
spmz wvdwnrucbkgkpzu,kyme knmwsfmlbpucyzz,sjafo,Vigenère
owlyerufenrlwadiipgj,ldobvifuvmiodzwrrktq,None,Atbash
nurykhyclqf  eutvfu ,ahelxulpyds  rhgish ,None,ROT13
synzurbeiarwjzmdobnp,flamheorvnejwmzqboac,None,ROT13
kcuafpslaoycsrimnqc ,uvvfwzufatnudrwkpitv,ktbfr,Autokey
lgmyihari utikuvamww,eyxztsrmt jktqjbrxvv,ropwulystiqexfcgdmhkjbvazn,Substitution
sbmozmyef emhfvpfvfn,xihvuhndk dhykscksko,"(7, 1)",Affine
shwvkugdzobkfxo  zje,hsdepftwalypucl  aqv,None,Atbash
berzryb x qdpqngg h ,brrbxqpnghezy  dqg  ,2,Rail Fence
xsvagsgav qfjjygnlwg,xgjwssafjlgvgvqyna g,4,Rail Fence
qgrznyzlzadnxljijkth,dtemalmymnqakywvwxgu,None,ROT13
iwope ffcmebhlwqdnpi,jnhyt kklztusinpcqyj,"(17, 3)",Affine
gphwrzvwhjoluuuk qds,gh pwjkqhvoudwzlusru,5,Rail Fence
 hsjpmgfgoaahwdjikwj, ikwpnhxtobbzjdkjcjj,bsnab,Vigenère
rok dbbyexindpplvzlj,rkdbeidpvlo byxnplzj,2,Rail Fence
fqpyseykfgcrsljvzjak,sdclfrlxstpefywimwnx,None,ROT13
cuzdp brspwyviazhbeo,cshurpzbzbwaed yiopv,5,Rail Fence
isbsqqlktydj lxiuhuv,zjsjhhcbkpua cozlylm,17,Caesar
xutxniqanox yuarugts,fzqfebvheaf jzhkzrqs,hntgcuribyxopealvksqzdmfjw,Substitution
avkdzrkuxzuimatcrgcu,ebgtkygwxkwisefjyujw,ezjtlqumipgrsncodyhfwbvxak,Substitution
kazjgrsjdchlwdkcpbee,kdpajccbzshkejrldegw,5,Rail Fence
ajkt ksxexsdmxpwqqnp,movi vbpzpbjrplkddtl,mayjzhnwuovfrteldxbigskpqc,Substitution
rgflp vmpjilqhsglaql,tszjh rchxejalmsjiaj,"(19, 8)",Affine
cilyxbwexnlwyuvtzhyx,pvylkojrkayjlhigmulk,None,ROT13
qwkwfryruaybpppqknfn,khqkxhubqfpzgjpolcuc,ulgos,Autokey
pfiixcnpifmb udqbpxt,qgjjydoqjgnc vercqyu,1,Caesar
c utexuvfgjdvppsxsse,u mvrymwfjzewppkykkr,ocuerfjxhzbnaqsptdkvmwiygl,Substitution
famhjaymgfibqpbkgq i,yfuwztduvvbgyerdly x,tfipq,Vigenère
lu ctrvkklbnszswnvjt,lknuklwv vbsjcrnztts,5,Rail Fence
mlez p kpmphfzxtjzqe,zyrm c xczcusmkgwmdr,None,ROT13
niwrejqv dfkmgfqfhbi,ne mfirjvdkgqhiwqffb,3,Rail Fence
cslvybxkwsranfpi akm,brkuxawjvrqzmeoh zjl,25,Caesar
gvdplopadudtkgkrgilf,tewkolkzwfwgptpitrou,None,Atbash
wektqpsa steiqtonvgm,ljnwsexd vvtntwqcajp,pfddc,Vigenère
evbaivphnmsprzvowjkj,uwmgqzkinuneymhglaje,qblgi,Autokey
saspubo nc uqmtoxerl,kspdptofcwoidzvbrude,ssxov,Autokey
rusunncz hlqariwidxz,slogtotv trrrnucjutl,brwmg,Vigenère
uqesvcgnrnkvwjdmlzaj,awyzdsqumufdtbnprgcb,cosnyvqlhbfrpuejwmzkadtxig,Substitution
pyqgvnkemupszclfjbgh,typiegbjcvtzashuwqil,nqsojuilmwbhcgdtpfzkverxya,Substitution
qbbdzztp  zhhaajmjel,wnllipuqqmyawnnitqel,gmkij,Autokey
zpecutqryrupe rvkclj,gajndslwvwdaj woxnim,"(11, 17)",Affine
pbdqftubycfpehs sbhp,vukgxhnubfxvayl luyv,zufkaxoycejsqwmvgtlhnidpbr,Substitution
kkbopzjkacczebsvhbgw,vverqgwvfddgbenkyezj,"(25, 5)",Affine
dkpavwktwvbfghekcw q,nuzkfgudgflpqroumg a,10,Caesar
euvjmvlfpaajheruxrcw,ewwlmzfaymvumtrugygn,acbca,Autokey
lnzmjzzgzsthfmipwwwd,yamzwmmtmfguszvcjjjq,None,ROT13
ilhcir agokiiharwnja,vyupve ntbxvvunejawn,None,ROT13
sfruuynyqtntlmhbyvvi,narvqqspknlgjcaorghp,vvabw,Autokey
yvzjyvtgvxcechezxvav,limwligtikprpurmkini,None,ROT13
bnojlkztyjwzskbgmsrs,bymntjgsozwbrjkzksls,5,Rail Fence
zjsrvdkswfvjqlybdwwn,mwfeiqxfjsiwdyloqjja,None,ROT13
vbnbhm lbnhtpzicffeq,v pebmltzfqnhbhifbnc,4,Rail Fence
pqjcpxbdd blgahdiabi,pdiqd dajbbhbcxlaipg,5,Rail Fence
quyqfvttlbvbjmnjiupf,dhldsiggyoiowzawvhcs,None,ROT13
dxakyrratbzeojokb fx,rloymffohpnscxcyp tl,"(1, 14)",Affine
 ytafozixmzq eqygzco, fx gyaoimqeyzotzzqc,3,Rail Fence
prqdzvozvtn kbwcgw j,vbylznsznhp gfqiuq d,"(3, 2)",Affine
bvzndbglpsawwafvnjyz,xrvjzxchlowsswbrjfuv,22,Caesar
fzw bmoiyrcfvqlyrtcy,jgh omspjecjcbyyvanl,ehlna,Vigenère
lraphishqerozpiwfbdq,mutpftjhflzggfmntasy,bdtay,Autokey
kwczkrknaxuuuiwojaqc,kkaujwzrnxuioacckuwq,3,Rail Fence
 ampxngtr vnpis ocla, ugjrhanl phjcm iwfu,20,Caesar
gwttecx rachcylzpzqq,gxcqwc hyzqterclptaz,4,Rail Fence
bvwjj yya qzahnxlyrb,rfuhh yyc incdpjlyxr,"(15, 2)",Affine
zgfiznagdxicfvdnylhg,qxwzqerxuoztwmuepcyx,17,Caesar
jniwomqcvzhchjfvhwqf,brkoiaqmxntmtblxtoql,"(17, 4)",Affine
ergwqliewmngsbnb mac,ysqrbpzkscyowxzotebp,ubkvl,Autokey
cwt agq tlz iqbiznmo,pjg ntd gym vdovmazb,None,ROT13
nthmenhehstwrdtl rzz,pvjogpjgjuvytfvn tbb,2,Caesar
pe r uxbyovybyjh cgk,cr e hkolbilolwu ptx,None,ROT13
ofjauoobjxpboseeghxx,ojuojpoegxfaobxbsehx,2,Rail Fence
mievgfrhpevdvhlsbdkb,mpbihesdervlkvfdhbgv,5,Rail Fence
oddzpyfucogitpfcaqmn,bqqmclshpbtvgcspndza,None,ROT13
ayzkapxnh ston gqotv,gefqgvdtn yzut mwuzb,6,Caesar
foocwnhopztrmko kjjw,uuszfcnsmiixqhx zpnt,pgexj,Vigenère
xrfekejpeosifpdbvfhd,gndimbauiywrutrtdkwg,jwyec,Autokey
wsmglfkxkrcxkktydbhv,wlkkdsgfxrxkybvmkcth,3,Rail Fence
 zcpytovtdindele ylb, odlztvneybcytil pde,4,Rail Fence
rvjeygwesucpvmfvswrd,eiwrltjrfhpcizsifjeq,None,ROT13
tm  oc  ngar bhunizr,lc  me  hyub zdqhipb,"(5, 20)",Affine
lyqipfrqzpgrqcgywdqh,lqprzgqgwqyifqprcydh,2,Rail Fence
zutwgxiz waujlhjhcqo,z huzwjctiahqwxulogj,5,Rail Fence
hpbuvmt fbh chpefpiu,eiorynk qoe veijqilr,"(7, 7)",Affine
feggddkxvwpluvrt ssi,fkusedxlvsigdvpr gwt,4,Rail Fence
vfkludikaqdljhwdnkjh,dbafyrqacerfvlirpavl,"(5, 2)",Affine
kfyitnnannigviuk xgp,kytnnivu gfinangikxp,2,Rail Fence
hbvmgieosqzdhjfcwcin,jzxzzkcqfjbbjwyeuevg,cycnt,Vigenère
vufhcosyyetcjmkrtwya,ufosvtbnnzqvwplmqjnr,"(15, 17)",Affine
x zwvh  cehliyyehzzv,buojkeamyzoyvaclshxt,ehpnp,Autokey
lkhwjvulswjpgalsqhan,yxujwihyfjwctnyfduna,None,ROT13
vaickczmaerou  mgiyy,cvutexzucotngnrducll,hvmru,Autokey
panbubeujmlseynssqsf,mxjhlqehkgmwyhzdkuqs,xxwgr,Autokey
apffpavjqe imvzwhryl,rmoojakovtndvldjpdtk,rxjju,Autokey
qfwdqvsgelehgjrrfqwn,opeboxcwifidwrvvpoet,"(7, 6)",Affine
odavrzbnmrxhjbrbtykt,bqniemoazekuwoeoglxg,None,ROT13
lupfh quvngtssidkouw,gxtdn qxbfeviiulcjxy,whrlodenuscgpfjtqkivxbymaz,Substitution
kswaulwoxas  tdbgxog,xfjnhyjbknf  gqotkbt,13,Caesar
pjivhvfaafo xzcdjnyy,vwybtbsqgru kpippaoe,gnqgm,Vigenère
yzmcakzskybmgongnpsl,lmzpnxmfxloztbatacfy,None,ROT13
h ijynqhcgdqfjjyhrlh,u vwladuptqdswwlueyu,None,ROT13
zticwiyttzmftrzoldcb,mgvpjvlggmzsgembyqpo,None,ROT13
ldyqttfyyg ho xrjwhw,owbjggubbt sl ciqdsd,None,Atbash
q dqva gptfuqxeixogk,j wjez tkgufjcvrcltp,None,Atbash
apmoqpkjjpmoxiunotzt,amqkjmxuozpopjpointt,2,Rail Fence
jtkexhf rigvgdikwp a,hjcgprb tmwzwlmcud a,"(21, 0)",Affine
qsqpqf lybendormentw,gjmnev cuzsdukpauepu,qrwyo,Vigenère
qirppcruellphtegemgp,vnwuuhwzjqqumyjljrlu,5,Caesar
ryp xgdbrzqffgkq zpw,ibk ctwyiajuutpj akd,None,Atbash
bifeigdfdallpkmvjwfi,jkrckgnrnuddlosxzmrk,"(15, 20)",Affine
udziibvkuljdonezxrft,uvofdbkdnrtziujexilz,4,Rail Fence
qfrliekieqzsypzlyqfv,stfwlgywptbgmacnmeqy,coold,Vigenère
patewk pkixxpvajyk g,ealqoz pcupmpnmbnk y,pasms,Vigenère
lhp dghhcwiwgqwgaymi,lpdhcigwamh ghwwqgyi,2,Rail Fence
viifcsyodyhipdeydfgt,anngzthbkhcnmkvhkgre,"(11, 3)",Affine
 upyy  srkzlxcehauae, fdqe  vcyrranszgxls,losgd,Vigenère
cqcvgc nbhdcehbbrjan,c eaqcnchjncgbdbrvhb,4,Rail Fence
jcahdt cpnvlcevppz e,jppccnpza vv htleedc,5,Rail Fence
ozqwwujtynxcsquivhba,owysvzwutncqihaqjxub,3,Rail Fence
skxnxiulsqxl hevfghz,yvhyxaeifnffyzusqtod,glkla,Autokey
vbev q bxiabdrsvwkiz,eyve j ycrzywihedpra,None,Atbash
rt ajdwqijgfsmxsggmm,qz vgstxmglbjfdjllff,vchsoblnmgkafpwyxqjzeitdru,Substitution
pnamjlkmbslccrigxeku,pjbcxnmlmscrgeuaklik,3,Rail Fence
ymlb jkwvgixchuqkobx,xtxp ijdhuhwjtipjvnl,zhmoz,Vigenère
slkqdunuulnwktjowdox,fzojvhlhhzlqobswqvwx,dncvypitusozklwmjrfbhaqxge,Substitution
w obi mjhyyxybrsntax,f nat psuddedakjoibe,"(25, 1)",Affine
swinymbtkhomsrvcgtxo,oupecqlraniqotmbfrgi,wlbvzsfnphadqeikjtorxmugcy,Substitution
 btloduchlhp mkpukff, ogybqhpuyuc zxchxss,None,ROT13
jmzzniwmjpharfzchmoh,mzwpvrilicpwdoojhdtg,dnxqi,Autokey
byciqdepesbnscokljnc,ybxrjwvkvhymhxlpoqmx,None,Atbash
p xucgjqmctkxjdyxget,oposwvwngeztnvfrhdnw,zcryu,Autokey
vg nbsiudjzuwqqaie p,jr dvsonlufncmmkot h,kvylterzouwgadqhmxsbnjcipf,Substitution
sqrjpdaadvhmrdgcpivc,fdewcqnnqiuzeqtpcvip,None,ROT13
bhxciuvdqkqzc djoapf,ceignvcasskufdnzncci,bxlef,Autokey
jrxzquksmxazjzsgjnto,nkxczeumsxrcncmwnhlt,rvgqbdwfanupshtizkmleyoxjc,Substitution
wpvyzvmtntgejnbemtku,wznjmpyvttenetuvmgbk,3,Rail Fence
veyhjfxehaslcertgbb ,emlrlabcojxiglrlrdfe,jinkc,Autokey
lgbsqkdukmty pydckzd,lkcgumdkbdtyzskypdq ,5,Rail Fence
tcayjzcqiyjklmlrwqpc,vjrafxjgsafyonocegbj,rkjwlqiusfyonztbgcmvhdepax,Substitution
inplnodhpmgyugvwchyt,iduynohyghtpnpgvclmw,4,Rail Fence
ddppizsqddeiqydcz io,didqzdpzqdiyc opsedi,3,Rail Fence
uwydiqmlwzoveajjsnsp,fdbwrjnodalevzqqhmhk,None,Atbash
hjcurdstfayxcvvbgfzh,ovoubkbvzrbpvavzdhuc,hmmak,Autokey
ffazhnugsbguzgemwbfy,fahusgzewffzngbugmby,2,Rail Fence
bxhhgucbcjrlpkjthozt,ddnqkvzijplnqmsksdjc,cggje,Autokey
hsovpetnouoppnffqoxx,shlekvgmlflkkmuujlcc,None,Atbash
feemvgqoxmamqdpft tv,gppvsxldavzvlyugk ks,"(17, 25)",Affine
ycdysesktct owhirbwc,norchcunruxfypjbepsj,pmoep,Autokey
kymvwfmawhdnssljlmsj,orflxpkmrdizsosmyeku,ettqb,Autokey
cmfocdwfindusmdbd t ,zgqunfikwpgqxuqexffq,xulgl,Autokey
 xuynhxjzdrslstmwtcw, khlaukwmqefyfgzjgpj,"(1, 13)",Affine
jnhajqql jhkdh xfhhx,xaoiezdsnsxaouwepkok,onhiv,Autokey
lynhrkqjqtebrzjbcohd,obmsipjqjgvyiaqyxlsw,None,Atbash
dgsuowlvpkrambcfylut,qtfhbjyicxenzopslyhg,None,ROT13
nviewh psw ckxjzeyxv,xfsogr zcg muhtjoihf,10,Caesar
tzval uyogtuqhqnwuwh,pcktjgttorgoovwgqkdx,wdpty,Autokey
nbbgbbbfevg gaacbhtg,pddidddhgxi iccedjvi,2,Caesar
xihhdodtopjozrawkwei,kvuuqbqgbcwbmenjxjrv,None,ROT13
zfjpjnkno mylcpwbhgp,mswcwaxab zlypcjoutc,None,ROT13
scfix kyldoyu njzlrq,txgpi vlyahlz esoyqn,"(3, 17)",Affine
rmheujijcmgqdpiekmgz,yhkflauqggpymrukapvh,hvdbr,Autokey
jguuvojoazccday pp a,wthhibwbnmppqnl cc n,None,ROT13
rjwhrhyegi kazyufual,uxvxqyhanzuiefghpuzj,dozqz,Autokey
mphmpdlribpdjhcfd lz,mljlpdrdh zhpipcdmbf,4,Rail Fence
kbjubfsdzvlnxfpnphly,ksxlbfdnfhyjbzlppuvn,4,Rail Fence
telrhuwooiifhdximfrr,bmtzpcewwqqnplfqunzz,8,Caesar
 xktykzivtaqszwlvsez, snoybulqtrlvuwcqvzz,vdvar,Vigenère
kfwqgnuboeztdkfzrlfe,ojaukryfsidxhojdvpji,4,Caesar
 bteqlxdwcclkcfpgv o, slhocvjpeecxegnwz r,bsejhgwukaxcytrnofmldzpvqi,Substitution
wh libtkjhugeazox eg,bn flryqdkklkucec ka,fgudq,Vigenère
mllxohsqtm jonlpehew,niiqxorhwn yxsiczozl,"(5, 5)",Affine
pcbigxgcxxnt wxvvqmf,kxyrtctxccmg dceejnu,None,Atbash
q itcdqcbxlrecbayjxy,i zbjkijstwfnjspoeto,psjknvxczelwuagrifqbmdhtoy,Substitution
rdlv   atlfyukxfctes,eqyi   ngyslhxkspgrf,None,ROT13
ospuiswydggfmyoc ibz,rkbmxvokvvjxyqdf anr,dsmsp,Vigenère
un tvwm xsmnwfh jsob,fm gedn chnmdus qhly,None,Atbash
eayzmxfxlogsedsmqtov,nqkrrgvjdtpiqvxvgfga,jqmsf,Vigenère
ioybwqknxhddjqolbqru,vblojdxakuqqwdbyodeh,None,ROT13
idjuqnkhzdi kxwjpixv,mapjrrhnoem hdlktfdk,exgpb,Vigenère
csnpulutuunyxkyyzkpq,xhmkfofgffmbcpbbapkj,None,Atbash
 zshqwplrgmpnxecfwce, mehgrckzadcviubnrbu,tqbyunahlwskdvxcgzejoprifm,Substitution
xvdgqehogekvvostdrj ,gngjznzrjntnyrbcvum ,jsddj,Vigenère
qtodfcznbeydsn j jew,irycfvkbmagcob u uaq,pmvcafhndujzlbywisortxqegk,Substitution
gicptxaooy gtdkxvwup,ykgappcszu yvhvtnyya,scelw,Vigenère
poadjlydnnkp tyluxed,xozjtcgjllvx bgckpnj,zrajneyhitvcdloxfswbkumpgq,Substitution
pgaiqyckhvtievlvvpsx,ctnvdlpxuigvriyiicfk,None,ROT13
rlqcymimshmueszvbhrb,eydplzvzfuzhrfmioueo,None,ROT13
t ivljpreonidehehbvf,x gquiovezhgceaeawql,rwscelnagipufhzodvkxjqmtyb,Substitution
appmichwlbmqipnam iu,ncczvpujyozdvcanz vh,None,ROT13
hgsmlzjuvxxgascoop f,rqcwvjtefhhqkcmyyz p,10,Caesar
rmodxynygarsctvfiohk,ezbqklaltnefpgisvbux,None,ROT13
 fttojhraegtocfskdit, sggbwuenrtgbpsfxqvg,None,ROT13
dbgsa mknyyfyjjtgmei,lfqzb xuiooeohhnqxya,bfmlyeqpahutxijrcszndkwvog,Substitution
